old_id,old_title,old_web,old_image,old_source,old_city,coverage,match_status,match_score,new_id,new_title,new_web
540,Gary Clairvoyant Medium,http://www.garyclairvoyantmedium.com/,/images/clip_image013.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:106,Brisbane,covered,matched_domain,1,167,Gary Clairvoyant Medium,garyclairvoyantmedium.com
541,Penguin Water Cruises,http://www.penguinwaters.com.au,/images/penguinwatercruise_107x131.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:90,Melbourne,covered,matched_domain,1,335,Penguin Water Cruises,penguinwaters.com.au
542,Look Hook.com.au,http://WWW.LOOKHOOK.COM.AU,/images/lookhook_ani_120x80.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\emag\lookhookaugust08.htm,Sydney,covered,matched_domain,1,251,LookHook.com.au,lookhook.com.au
544,Casablanca,http://www.casablanca.com.au,/images/casablanca.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\images\events_brisbane.htm,Brisbane,covered,matched_domain,1,75,Casablanca,casablanca.com.au
545,Karinya Counselling,http://www.karinyacounselling.com.au/,/images/karinya_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:101,Melbourne,covered,matched_title,1,604,Karinya Counselling,
546,Friends And Adventures,http://www.FriendsAndAdventures.com,/images/friendsandadventures_120x80.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\images\social_clubs_syd.htm,Central Coast,covered,matched_domain,1,158,Friends And Adventures,friendsandadventures.com
547,Welcome to Mingles Singles,http://www.minglessingles.com.au,/images/minglessingles_90x50.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\minglessingles.htm,,possible_old_only,unmatched,0.609,,,
548,Keeping Up Appearances,,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:100,Sydney,covered,matched_title,1,212,Keeping Up Appearances,
550,Invest in You,http://www.invest-in-you.com.au,/images/investinyou_ani_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:93,Sydney,covered,matched_domain,1,191,Invest in You,invest-in-you.com.au
551,Life Makeovers,http://www.lifemakeovers.com.au,/images/lifemakeovers-120x80.png,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:93,Sydney,covered,matched_domain,1,243,Life Makeovers,lifemakeovers.com.au
552,Quicksilver Connections,http://www.quicksilver-cruises.com,/images/quicksilver_snork.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:146,Brisbane,covered,matched_title,1,358,Quicksilver Connections,quicksilver-cruises.com | quicksilver-cruises.com/bookings.php
553,Studio Two Dance Centre,,/images/studio2_ani_120x85.gif,F:\Work\Admin\Dad\Events 4 Singles\Images\dance_classes_melbourne.htm,Melbourne,covered,matched_title,1,441,Studio Two Dance Centre,studiotwodancecentre.com
554,Stradbroke Island Beach Hotel,http://www.stradbrokeislandbeachhotel.com.au,/images/straddiepub.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:85,Brisbane,covered,matched_domain,1,435,Stradbroke Island Beach Hotel- Point Lookout,stradbrokeislandbeachhotel.com.au
555,Melbourne Jazz,http://www.melbournejazz.com,/images/jazz_scene.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:275,Melbourne,covered,matched_domain,1,282,Melbourne Jazz,melbournejazz.com
556,Cuban Dance Academy,,/images/cubandance_120x80.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_melbourne.htm,Melbourne,covered,matched_title,1,576,Cuban Dance Academy,
557,Sounds of Sirius,http://www.soundsofsirius.com/healing.html,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:104,Brisbane,covered,matched_domain,1,424,Sounds of Sirius based Australia-wide,soundsofsirius.com
558,Guess Who's Coming To Dinner,,,F:\Work\Admin\Dad\Events 4 Singles\Images\dinner_for_six_perth.htm,Perth,drop:no_contact_or_image,unmatched,0.512,,,
559,Francis Bevan,http://www.francisbevan.com/,/images/clip_image009.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:106,Sydney,covered,matched_domain,1,156,Francis Bevan,francisbevan.com
561,Baracuma Yacht Charters,http://www.baracumacharteryachts.com.au,/images/baracuma_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:87,Brisbane,covered,matched_domain,1,45,Baracuma Yacht Charters,baracumacharteryachts.com.au
562,The Cats Corner,,/images/catscorner_120x80.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_melbourne.htm,Melbourne,covered,matched_title,1,667,The Cats Corner,
563,Solutions Intro,http://www.solutionsintros.com,/images/solutions_150x88.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\mature_dating_events.htm,,covered,matched_domain,1,422,Solutions Intro,solutionsintros.com
564,Way Forward,,/images/wayforward_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:101,Cairns,covered,matched_title,1,676,Way Forward,
565,Perth Jazz Society,http://www.perthjazzsociety.com,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:274,Perth,covered,matched_domain,1,343,Perth Jazz Society,perthjazzsociety.com
566,The Dating Connection,,/images/datingconnection_120x80.gif,F:\Work\Websites\Frontpage Sites\events4singles\events_newcastle.htm,Newcastle,possible_old_only,unmatched,0.732,,,
567,Total Woman,http://www.totalwoman.com.au,/images/totalwoman_165x75.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:96,Sydney,covered,matched_domain,1,496,Total Woman,totalwoman.com.au
568,Zouk Nights,http://www.zouknights.com,/images/zouknights_120x80.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_brisbane.htm,Brisbane,covered,matched_title,1,526,Zouk Nights,zouknights.com | zouknights.com/courses.htm
569,Psychic Medium,http://www.psychicmedium.net.au,/images/clip_image011.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:106,Brisbane,covered,matched_domain,1,354,Psychic Medium,psychicmedium.net.au
570,My Friends,http://www.myfriends.com.au,/images/MyFriend165x27.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\advertisers\my_friends.htm,Brisbane,possible_old_only,unmatched,0.7,,,
571,Pittwater Personal Fitness,http://www.personalfitness.com.au/,/images/pittwaterPersonalFitness120.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:169,Sydney,covered,matched_domain,1,346,Pittwater Personal Fitness,personalfitness.com.au
572,SinglesCruise.com,http://www.singlescruise.com,/images/singlesCruise_us_200x72.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:90,Darwin,possible_old_only,unmatched,0.812,,,
573,Kate James,http://www.lifecoach.com.au,/images/sandy_90x117.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\life_coaches_melbourne.htm,Melbourne,covered,matched_domain,1,209,Kate James,lifecoach.com.au
574,Jill's Jive,http://www.jillsjive,/images/JillsLogo.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\dance_classes_brisbane.htm,Brisbane,covered,matched_title,1,201,Jill's Jive,jillsjive.com.au
575,Friends And Adventures,,/images/friendsandadventures_120x80.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\Copy of dinner_parties_sydney.htm,Sydney,covered,matched_title,1,158,Friends And Adventures,friendsandadventures.com
576,Amourlife Speed Dating,http://amourlife.com.au,/images/Speed_Dating.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:141,Brisbane,possible_old_only,unmatched,0.75,,,
577,Zing Factor,http://www.zingfactor.com.au,/images/zing_165x69.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\images\social_clubs_syd.htm,Sydney,possible_old_only,unmatched,0.583,,,
578,The Edge Adventure Centre,http://www.edge-adventure.com.au,/images/The-Edge-Adventure-Centre_1.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:105,Sydney,covered,matched_domain,1,481,The Edge Adventure Centre,edge-adventure.com.au
579,16th on Park,http://www.16onpark.com.au,/images/16onpark_1.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:107,Brisbane,covered,matched_domain,1,1,16th on Park,16onpark.com.au
